Title,Platform,Content Type,Goal,Status,Priority,Personality Marker,Recurring,Post Date,Hook Used,Notes
[TG-1] Apr 23 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-04-23T08:00:00,,
[LI-1] I analyzed a top Web3 brand's content strategy in 30 seconds. Here's what they'r...,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Callout,One-Time,2026-04-23T09:00:00,I analyzed a top Web3 brand's content strategy in 30 seconds. Here's what they're doing right — and what they're missing.,Phase 3 | LI-1 | B-28 | [v1 hook] | v2
[TK-2] The content system debate: too good to be true?,TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-04-23T11:00:00,,Phase 3 | TK-2 | NEW | [TOPIC ONLY] | v2
[X-2] Who are the 3 most underrated accounts in crypto X right now? I need new follows...,X/Twitter,Tweet,Community,Draft,Normal,Polarizing Stand,One-Time,2026-04-23T12:00:00,Who are the 3 most underrated accounts in crypto X right now? I need new follows.,Phase 3 | X-PM | B-28 | [v1 hook] | v2
[TK-3] Who are the 3 most underrated crypto accounts right now?,TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-04-23T16:00:00,,Phase 3 | TK-3 | NEW | [TOPIC ONLY] | v2
[LI-2] The brand voice objection: data that proves AI can match you,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-04-23T16:00:00,,Phase 3 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] Apr 23 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-04-23T16:00:00,,
"[IG-2] The DeFi pilot results: 21 posts, zero manual writing",Instagram,Carousel,Community,Draft,Normal,Callout,One-Time,2026-04-23T17:00:00,,Phase 3 | IG-2 | NEW | [TOPIC ONLY] | v2
[TK-4] The competitor analysis framework nobody teaches,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-04-23T19:00:00,,Phase 3 | TK-4 | NEW | [TOPIC ONLY] | v2
[TK-1] Free live demo. 48 hours. 50 spots. Here's what you'll see.,TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-04-24T06:00:00,Free live demo. 48 hours. 50 spots. Here's what you'll see.,Phase 3 | TK-1 | B-29 | [v1 hook] | v2
[IG-1] Free live walkthrough: content system demo,Instagram,Reel Script,Authority,Draft,Normal,Story,One-Time,2026-04-24T07:00:00,,Phase 3 | IG-1 | NEW | [TOPIC ONLY] | v2
[X-1] In 48 hours: free live walkthrough — 'How to Build a Content System That Runs Wi...,X/Twitter,Tweet,Sales,Draft,Normal,Polarizing Stand,One-Time,2026-04-24T08:00:00,In 48 hours: free live walkthrough — 'How to Build a Content System That Runs Without You.' 45 min. 50 spots.,Phase 3 | X-AM | B-29 | [v1 hook] | v2
[TG-1] Apr 24 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-04-24T08:00:00,,
[LI-1] Content audits that find what you're missing in seconds,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Callout,One-Time,2026-04-24T09:00:00,,Phase 3 | LI-1 | NEW | [TOPIC ONLY] | v2
[TK-2] Why one person + a system beats a 5-person team,TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-04-24T11:00:00,,Phase 3 | TK-2 | NEW | [TOPIC ONLY] | v2
[X-2] 29 days ago: near-zero engagement. Today: real conversations happening daily. On...,X/Twitter,Tweet,Community,Draft,Normal,Polarizing Stand,One-Time,2026-04-24T12:00:00,"29 days ago: near-zero engagement. Today: real conversations happening daily. Only thing that changed: stopped selling, started talking.",Phase 3 | X-PM | B-29 | [v1 hook] | v2
[TK-3] 29 days of conversations > 29 days of broadcasts,TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-04-24T16:00:00,,Phase 3 | TK-3 | NEW | [TOPIC ONLY] | v2
[LI-2] 7 days of content in 4 minutes: the ContentBrain approach,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-04-24T16:00:00,,Phase 3 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] Apr 24 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-04-24T16:00:00,,
[IG-2] 7 days of content. 4 minutes. Timer on screen.,Instagram,Reel Script,Reach,Draft,Normal,Callout,One-Time,2026-04-24T17:00:00,,Phase 3 | IG-2 | NEW | [TOPIC ONLY] | v2
[TK-4] AI content sounds robotic? 73% couldn't tell the difference.,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-04-24T19:00:00,,Phase 3 | TK-4 | NEW | [TOPIC ONLY] | v2
[TK-1] DeFi project test: 21 posts in zero manual minutes,TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-04-25T06:00:00,,Phase 3 | TK-1 | NEW | [TOPIC ONLY] | v2
[IG-1] 30 days. Zero gimmicks. Here's what happened.,Instagram,Reel Script,Authority,Draft,Normal,Story,One-Time,2026-04-25T07:00:00,30 days. Zero gimmicks. Here's what happened.,Phase 3 | IG-1 | B-30 | [v1 hook] | v2
[X-1] 30 days ago I reset everything. No signals. No links. No reposts. Just conversat...,X/Twitter,Thread,Authority,Draft,Normal,Polarizing Stand,One-Time,2026-04-25T08:00:00,30 days ago I reset everything. No signals. No links. No reposts. Just conversations. Here are the real numbers.,Phase 3 | X-AM | B-30 | [v1 hook] | v2
[TG-1] Apr 25 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-04-25T08:00:00,,
"[LI-1] 30 days ago I restarted from near-zero engagement. Here are the raw numbers, the...",LinkedIn,LinkedIn Post,Authority,Draft,Normal,Callout,One-Time,2026-04-25T09:00:00,"30 days ago I restarted from near-zero engagement. Here are the raw numbers, the lessons, and what's next.",Phase 3 | LI-1 | B-30 | [v1 hook] | v2
[TK-2] The tool cost that nobody talks about,TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-04-25T11:00:00,,Phase 3 | TK-2 | NEW | [TOPIC ONLY] | v2
[X-2] Month 1 was about rebuilding trust with the algorithm. Month 2: scaling what wor...,X/Twitter,Tweet,Community,Draft,Normal,Polarizing Stand,One-Time,2026-04-25T12:00:00,Month 1 was about rebuilding trust with the algorithm. Month 2: scaling what works. What topic do you want me to go deep on?,Phase 3 | X-PM | B-30 | [v1 hook] | v2
[TK-3] Share one win from this week. I'll start.,TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-04-25T16:00:00,,Phase 3 | TK-3 | NEW | [TOPIC ONLY] | v2
[LI-2] Competitor analysis in 30 seconds — what this means,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-04-25T16:00:00,,Phase 3 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] Apr 25 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-04-25T16:00:00,,
[IG-2] Quote: 'One person + the right system beats a 5-person team',Instagram,Community Post,Community,Draft,Normal,Callout,One-Time,2026-04-25T17:00:00,,Phase 3 | IG-2 | NEW | [TOPIC ONLY] | v2
[TK-4] The trust objection answered with real data,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-04-25T19:00:00,,Phase 3 | TK-4 | NEW | [TOPIC ONLY] | v2
[TK-1] The execution gap: strategy vs system,TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-04-26T06:00:00,,Phase 4 | TK-1 | NEW | [TOPIC ONLY] | v2
[IG-1] Live build preview: what you'll see Wednesday,Instagram,Reel Script,Authority,Draft,Normal,Story,One-Time,2026-04-26T07:00:00,,Phase 4 | IG-1 | NEW | [TOPIC ONLY] | v2
[X-1] Pattern I've noticed: creators who ride trends early don't have better instincts...,X/Twitter,Tweet,Authority,Draft,Normal,Polarizing Stand,One-Time,2026-04-26T08:00:00,Pattern I've noticed: creators who ride trends early don't have better instincts. They have better systems for detecting trends.,Phase 4 | X-AM | C-26 | [v1 hook] | v2
[TG-1] Apr 26 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-04-26T08:00:00,,
[LI-1] The content architect vs content creator mindset shift,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Callout,One-Time,2026-04-26T09:00:00,,Phase 4 | LI-1 | NEW | [TOPIC ONLY] | v2
[TK-2] Content Creator vs Content Architect,TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-04-26T11:00:00,,Phase 4 | TK-2 | NEW | [TOPIC ONLY] | v2
[X-2] You spent 6 hours last week planning content. Your competitor spent 15 minutes. ...,X/Twitter,Tweet,Authority,Draft,Normal,Polarizing Stand,One-Time,2026-04-26T12:00:00,You spent 6 hours last week planning content. Your competitor spent 15 minutes. Same results. That gap is the game now.,Phase 4 | X-PM | C-1 | [v1 hook] | v2
[TK-3] What's the one tool you can't live without?,TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-04-26T16:00:00,,Phase 4 | TK-3 | NEW | [TOPIC ONLY] | v2
[LI-2] Content as execution: the missing layer in most strategies,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-04-26T16:00:00,,Phase 4 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] Apr 26 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-04-26T16:00:00,,
[IG-2] ROI calculator: content as a revenue engine,Instagram,Carousel,Reach,Draft,Normal,Callout,One-Time,2026-04-26T17:00:00,,Phase 4 | IG-2 | NEW | [TOPIC ONLY] | v2
[TK-4] Pattern: best creators aren't most talented — most consistent,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-04-26T19:00:00,,Phase 4 | TK-4 | NEW | [TOPIC ONLY] | v2
[TK-1] 30-day content calendar built in 47 seconds — watch,TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-04-27T06:00:00,,Phase 4 | TK-1 | NEW | [TOPIC ONLY] | v2
[IG-1] The Disappearance Test — 5 signs your content depends on YOU,Instagram,Carousel,Sales,Draft,Normal,Story,One-Time,2026-04-27T07:00:00,,Phase 4 | IG-1 | NEW | [TOPIC ONLY] | v2
[X-1] The content strategy that separates $5K/month creators from $50K/month creators ...,X/Twitter,Thread,Authority,Draft,Normal,Polarizing Stand,One-Time,2026-04-27T08:00:00,The content strategy that separates $5K/month creators from $50K/month creators — in 5 steps.,Phase 4 | X-AM | C-27 | [v1 hook] | v2
[TG-1] Apr 27 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-04-27T08:00:00,,
[LI-1] ChatGPT is a hammer. Content strategy needs a house.,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Callout,One-Time,2026-04-27T09:00:00,,Phase 4 | LI-1 | NEW | [TOPIC ONLY] | v2
[TK-2] Your competitor published a post at 3AM. They were sleeping.,TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-04-27T11:00:00,,Phase 4 | TK-2 | NEW | [TOPIC ONLY] | v2
[X-2] Canva. ChatGPT. Notion. Buffer. A VA. You're paying 5 subscriptions to do what o...,X/Twitter,Tweet,Reach,Draft,Normal,Polarizing Stand,One-Time,2026-04-27T12:00:00,Canva. ChatGPT. Notion. Buffer. A VA. You're paying 5 subscriptions to do what one system handles. That's not a workflow — that's a tax.,Phase 4 | X-PM | C-2 | [v1 hook] | v2
"[TK-3] Content struggles: drop yours, I'll fix it",TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-04-27T16:00:00,,Phase 4 | TK-3 | NEW | [TOPIC ONLY] | v2
"[LI-2] Content ROI: revenue engine, not cost center",LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-04-27T16:00:00,,Phase 4 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] Apr 27 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-04-27T16:00:00,,
[IG-2] Competitor content patterns: 30-second pull,Instagram,Reel Script,Community,Draft,Normal,Callout,One-Time,2026-04-27T17:00:00,,Phase 4 | IG-2 | NEW | [TOPIC ONLY] | v2
[TK-4] Trend detection isn't instinct — it's systems,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-04-27T19:00:00,,Phase 4 | TK-4 | NEW | [TOPIC ONLY] | v2
[TK-1] One system. All platforms. Zero burnout.,TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-04-28T06:00:00,,Phase 4 | TK-1 | NEW | [TOPIC ONLY] | v2
[IG-1] The Disappearance Test — 5 signs your content system depends entirely on YOU,Instagram,Carousel,Authority,Draft,Normal,Story,One-Time,2026-04-28T07:00:00,The Disappearance Test — 5 signs your content system depends entirely on YOU,Phase 4 | IG-1 | C-3 | [v1 hook] | v2
[X-1] ChatGPT is a hammer. You need a house. Here's what happens when you build a cont...,X/Twitter,Thread,Sales,Draft,Normal,Polarizing Stand,One-Time,2026-04-28T08:00:00,ChatGPT is a hammer. You need a house. Here's what happens when you build a content strategy with just ChatGPT vs a purpose-built system.,Phase 4 | X-AM | C-28 | [v1 hook] | v2
[TG-1] Apr 28 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-04-28T08:00:00,,
[LI-1] ChatGPT is a hammer. Your content strategy needs a house — side-by-side comparis...,LinkedIn,LinkedIn Post,Sales,Draft,Normal,Callout,One-Time,2026-04-28T09:00:00,ChatGPT is a hammer. Your content strategy needs a house — side-by-side comparison.,Phase 4 | LI-1 | C-28 | [v1 hook] | v2
[TK-2] Manual content creation is a tax on your time,TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-04-28T11:00:00,,Phase 4 | TK-2 | NEW | [TOPIC ONLY] | v2
"[X-2] If you stopped posting for 2 weeks, would your brand survive? If the answer scar...",X/Twitter,Tweet,Authority,Draft,Normal,Polarizing Stand,One-Time,2026-04-28T12:00:00,"If you stopped posting for 2 weeks, would your brand survive? If the answer scares you, your content system is broken.",Phase 4 | X-PM | C-3 | [v1 hook] | v2
[TK-3] What would you build with 10 extra hours/week?,TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-04-28T16:00:00,,Phase 4 | TK-3 | NEW | [TOPIC ONLY] | v2
[LI-2] Live build: content calendar from zero to scheduled,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-04-28T16:00:00,,Phase 4 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] Apr 28 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-04-28T16:00:00,,
[IG-2] The 5 Frameworks behind every viral post,Instagram,Carousel,Reach,Draft,Normal,Callout,One-Time,2026-04-28T17:00:00,,Phase 4 | IG-2 | NEW | [TOPIC ONLY] | v2
[TK-4] The $5K vs $50K creator strategy gap,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-04-28T19:00:00,,Phase 4 | TK-4 | NEW | [TOPIC ONLY] | v2
[TK-1] How to turn content into a $10K/month income engine,TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-04-29T06:00:00,,Phase 4 | TK-1 | NEW | [TOPIC ONLY] | v2
[IG-1] 47 seconds. 30-day calendar. Timer running.,Instagram,Reel Script,Sales,Draft,Normal,Story,One-Time,2026-04-29T07:00:00,,Phase 4 | IG-1 | NEW | [TOPIC ONLY] | v2
"[X-1] If one post brings you one client worth $2,000 and you publish 60 posts/month, h...",X/Twitter,Thread,Sales,Draft,Normal,Polarizing Stand,One-Time,2026-04-29T08:00:00,"If one post brings you one client worth $2,000 and you publish 60 posts/month, how many clients do you need to 10X your content investment?",Phase 4 | X-AM | C-29 | [v1 hook] | v2
[TG-1] Apr 29 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-04-29T08:00:00,,
[LI-1] The brand voice problem most founders ignore,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Callout,One-Time,2026-04-29T09:00:00,,Phase 4 | LI-1 | NEW | [TOPIC ONLY] | v2
[TK-2] 60 posts/month. 4 platforms. Zero burnout.,TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-04-29T11:00:00,,Phase 4 | TK-2 | NEW | [TOPIC ONLY] | v2
"[X-2] A content manager costs $4,000/month. A freelance strategist: $2,000. Most Web3 ...",X/Twitter,Tweet,Reach,Draft,Normal,Polarizing Stand,One-Time,2026-04-29T12:00:00,"A content manager costs $4,000/month. A freelance strategist: $2,000. Most Web3 projects pay both. What if you needed neither?",Phase 4 | X-PM | C-4 | [v1 hook] | v2
[TK-3] Sunday reset: what's changing this week?,TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-04-29T16:00:00,,Phase 4 | TK-3 | NEW | [TOPIC ONLY] | v2
[LI-2] 47 seconds to build a 30-day calendar. Implications for brands.,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-04-29T16:00:00,,Phase 4 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] Apr 29 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-04-29T16:00:00,,
[IG-2] The Time Audit Challenge — track your content hours,Instagram,Carousel,Community,Draft,Normal,Callout,One-Time,2026-04-29T17:00:00,,Phase 4 | IG-2 | NEW | [TOPIC ONLY] | v2
[TK-4] 5 content frameworks you need to master,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-04-29T19:00:00,,Phase 4 | TK-4 | NEW | [TOPIC ONLY] | v2
[TK-1] The math: 1 post → 1 client → $2K. Scale that.,TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-04-30T06:00:00,,Phase 4 | TK-1 | NEW | [TOPIC ONLY] | v2
[IG-1] I just pulled your top competitor's content patterns for free. 30 seconds. Watch...,Instagram,Reel Script,Leads,Draft,Normal,Story,One-Time,2026-04-30T07:00:00,I just pulled your top competitor's content patterns for free. 30 seconds. Watch.,Phase 4 | IG-1 | C-30 | [v1 hook] | v2
"[X-1] I know exactly what your competitors posted this week, which hooks worked, and w...",X/Twitter,Tweet,Leads,Draft,Normal,Polarizing Stand,One-Time,2026-04-30T08:00:00,"I know exactly what your competitors posted this week, which hooks worked, and which formats flopped. 30 seconds.",Phase 4 | X-AM | C-30 | [v1 hook] | v2
[TG-1] Apr 30 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-04-30T08:00:00,,
"[LI-1] ROI calculator: content as a revenue engine, not a cost center. The math that ma...",LinkedIn,LinkedIn Post,Sales,Draft,Normal,Callout,One-Time,2026-04-30T09:00:00,"ROI calculator: content as a revenue engine, not a cost center. The math that makes content investment a no-brainer.",Phase 4 | LI-1 | C-29 | [v1 hook] | v2
[TK-2] The time audit challenge: track your content hours,TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-04-30T11:00:00,,Phase 4 | TK-2 | NEW | [TOPIC ONLY] | v2
[X-2] A pattern I've noticed: Web3 projects that grow fastest aren't the ones with the...,X/Twitter,Tweet,Authority,Draft,Normal,Polarizing Stand,One-Time,2026-04-30T12:00:00,A pattern I've noticed: Web3 projects that grow fastest aren't the ones with the best tech. They're the ones with the best content systems.,Phase 4 | X-PM | C-5 | [v1 hook] | v2
[TK-3] Track your content hours this week — report back,TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-04-30T16:00:00,,Phase 4 | TK-3 | NEW | [TOPIC ONLY] | v2
[LI-2] AI agents are hype. Workflows are money. The data.,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-04-30T16:00:00,,Phase 4 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] Apr 30 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-04-30T16:00:00,,
[IG-2] Quote: 'Content Creator vs Content Architect',Instagram,Community Post,Reach,Draft,Normal,Callout,One-Time,2026-04-30T17:00:00,,Phase 4 | IG-2 | NEW | [TOPIC ONLY] | v2
[TK-4] Web3 projects that grow fastest have the best content systems,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-04-30T19:00:00,,Phase 4 | TK-4 | NEW | [TOPIC ONLY] | v2
[TK-1] ChatGPT is a hammer. You need a house.,TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-05-01T06:00:00,,Phase 4 | TK-1 | NEW | [TOPIC ONLY] | v2
[IG-1] The Income Engine framework: content → $10K/month,Instagram,Carousel,Sales,Draft,Normal,Story,One-Time,2026-05-01T07:00:00,,Phase 4 | IG-1 | NEW | [TOPIC ONLY] | v2
[X-1] You don't need a content strategist. You don't need a copywriter. You don't need...,X/Twitter,Tweet,Sales,Draft,Normal,Polarizing Stand,One-Time,2026-05-01T08:00:00,You don't need a content strategist. You don't need a copywriter. You don't need a scheduler. You need one system that does all three.,Phase 4 | X-AM | C-31 | [v1 hook] | v2
[TG-1] May 1 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-05-01T08:00:00,,
"[LI-1] In 20 days of free strategy, one thing was missing: execution",LinkedIn,LinkedIn Post,Authority,Draft,Normal,Callout,One-Time,2026-05-01T09:00:00,,Phase 4 | LI-1 | NEW | [TOPIC ONLY] | v2
[TK-2] The Manual Trap — manual content creation vs system content creation side by sid...,TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-05-01T11:00:00,The Manual Trap — manual content creation vs system content creation side by side,Phase 4 | TK-2 | C-6 | [v1 hook] | v2
[X-2] You're writing every caption by hand. Researching trends manually. Scheduling po...,X/Twitter,Tweet,Reach,Draft,Normal,Polarizing Stand,One-Time,2026-05-01T12:00:00,You're writing every caption by hand. Researching trends manually. Scheduling posts one by one. And you wonder why you're burned out.,Phase 4 | X-PM | C-6 | [v1 hook] | v2
[TK-3] The Monday dread is real. How do you handle it?,TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-05-01T16:00:00,,Phase 4 | TK-3 | NEW | [TOPIC ONLY] | v2
[LI-2] Why founders keep firing social media managers,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-05-01T16:00:00,,Phase 4 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] May 1 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-05-01T16:00:00,,
[IG-2] Brand voice training: how the system learns you,Instagram,Reel Script,Community,Draft,Normal,Callout,One-Time,2026-05-01T17:00:00,,Phase 4 | IG-2 | NEW | [TOPIC ONLY] | v2
[TK-4] AI agents are hype. AI workflows are money.,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-05-01T19:00:00,,Phase 4 | TK-4 | NEW | [TOPIC ONLY] | v2
[TK-1] The execution gap: strategy vs system,TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-05-02T06:00:00,,Phase 4 | TK-1 | NEW | [TOPIC ONLY] | v2
[IG-1] The 5 Frameworks — steal them all,Instagram,Carousel,Authority,Draft,Normal,Story,One-Time,2026-05-02T07:00:00,The 5 Frameworks — steal them all,Phase 4 | IG-1 | C-32 | [v1 hook] | v2
[X-1] Every viral post follows one of these 5 frameworks. Master them and you'll never...,X/Twitter,Thread,Authority,Draft,Normal,Polarizing Stand,One-Time,2026-05-02T08:00:00,Every viral post follows one of these 5 frameworks. Master them and you'll never run out of content ideas.,Phase 4 | X-AM | C-32 | [v1 hook] | v2
[TG-1] May 2 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-05-02T08:00:00,,
"[LI-1] 5 content frameworks behind every viral post — Contrarian Reframe, Before/After,...",LinkedIn,LinkedIn Post,Authority,Draft,Normal,Callout,One-Time,2026-05-02T09:00:00,"5 content frameworks behind every viral post — Contrarian Reframe, Before/After, Step-by-Step, Diagnostic, Identity Shift",Phase 4 | LI-1 | C-32 | [v1 hook] | v2
"[TK-2] Post less, post better — with proof",TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-05-02T11:00:00,,Phase 4 | TK-2 | NEW | [TOPIC ONLY] | v2
[X-2] Content Creator vs Content Architect. One writes posts. The other designs system...,X/Twitter,Tweet,Authority,Draft,Normal,Polarizing Stand,One-Time,2026-05-02T12:00:00,"Content Creator vs Content Architect. One writes posts. The other designs systems that write, schedule, and optimize without them.",Phase 4 | X-PM | C-7 | [v1 hook] | v2
[TK-3] Rate my content stack: post yours,TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-05-02T16:00:00,,Phase 4 | TK-3 | NEW | [TOPIC ONLY] | v2
[LI-2] 5 content frameworks that drive every viral post,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-05-02T16:00:00,,Phase 4 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] May 2 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-05-02T16:00:00,,
[IG-2] Quote: '60 posts/month. 4 platforms. Zero burnout.',Instagram,Community Post,Reach,Draft,Normal,Callout,One-Time,2026-05-02T17:00:00,,Phase 4 | IG-2 | NEW | [TOPIC ONLY] | v2
[TK-4] The brand voice problem most creators ignore,TikTok,TikTok Script,Authority,Draft,Normal,Mythology,One-Time,2026-05-02T19:00:00,,Phase 4 | TK-4 | NEW | [TOPIC ONLY] | v2
[TK-1] Content ROI calculator — the numbers that matter,TikTok,TikTok Script,Sales,Draft,Normal,Hot Take,One-Time,2026-05-03T06:00:00,,Phase 4 | TK-1 | NEW | [TOPIC ONLY] | v2
[IG-1] Live build preview: what you'll see Wednesday,Instagram,Reel Script,Sales,Draft,Normal,Story,One-Time,2026-05-03T07:00:00,,Phase 4 | IG-1 | NEW | [TOPIC ONLY] | v2
"[X-1] HubSpot's 2026 report: post less, post better. The creators who win aren't publi...",X/Twitter,Tweet,Reach,Draft,Normal,Polarizing Stand,One-Time,2026-05-03T08:00:00,"HubSpot's 2026 report: post less, post better. The creators who win aren't publishing 10 garbage posts/day. They're publishing 2 perfect ones.",Phase 4 | X-AM | C-33 | [v1 hook] | v2
[TG-1] May 3 - 9AM WAT,Telegram,Community Post,Leads,Draft,Normal,Enemy,One-Time,2026-05-03T08:00:00,,
[LI-1] The content architect vs content creator mindset shift,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Callout,One-Time,2026-05-03T09:00:00,,Phase 4 | LI-1 | NEW | [TOPIC ONLY] | v2
"[TK-2] Post less, post better — what a quality-first content system actually looks like",TikTok,TikTok Script,Reach,Draft,Normal,Mythology,One-Time,2026-05-03T11:00:00,"Post less, post better — what a quality-first content system actually looks like",Phase 4 | TK-2 | C-33 | [v1 hook] | v2
[X-2] It's 3AM and your competitor just published a post. They didn't write it. They d...,X/Twitter,Tweet,Reach,Draft,Normal,Polarizing Stand,One-Time,2026-05-03T12:00:00,It's 3AM and your competitor just published a post. They didn't write it. They didn't schedule it. Their system did. While they slept.,Phase 4 | X-PM | C-8 | [v1 hook] | v2
[TK-3] What's the one tool you can't live without?,TikTok,TikTok Script,Community,Draft,Normal,Hot Take,One-Time,2026-05-03T16:00:00,,Phase 4 | TK-3 | NEW | [TOPIC ONLY] | v2
[LI-2] Content as execution: the missing layer in most strategies,LinkedIn,LinkedIn Post,Authority,Draft,Normal,Story,One-Time,2026-05-03T16:00:00,,Phase 4 | LI-2 | NEW | [TOPIC ONLY] | v2
[TG-2] May 3 - 5PM WAT,Telegram,Community Post,Authority,Draft,Normal,Enemy,One-Time,2026-05-03T16:00:00,,
